"From","To","Distance","MaxNumber"
"MH4-M1","T11-GVS2","2,0163","2"
"SG","T11-GVS2","9,9700","2"
"T11-GVS2","GVS3-M8","1,6204","2"
"GVS3-M8","WV12","11,1000","2"
"VF-A","WV12","8,1041","2"
"VF-B","WV12","7,5147","2"
"SB8","WV12","10,0338","2"
"SPORT-C","WV12","5,9379","2"
"LC11","WV19","6,5786","2"
"SB8","WV19","7,9843","2"
"SPORT-C","WV19","4,0411","2"
"KR-A","WV19","3,7454","2"
"MR","ZH","2,1962","2"
"WV19","VF-A","7,5944","2"
"KR-A","VF-A","7,7647","2"
"WV19","VF-B","6,4128","2"
"LC1","VF-B","2,9818","2"
"VF-A","VF7","5,7704","2"
"BO7-KZ2","VF7","2,9000","2"
"KR-A","VF7","13,4424","2"
"KG","SB18","7,0010","2"
"WV12","LC1","7,5983","2"
"WV19","LC1","5,7583","2"
"KG","LC1","8,2801","2"
"KR-A","LC1","3,4361","2"
"SPORT-D","LC11","3,1263","2"
"KG","LC11","5,6017","2"
"EL-A","LC11","6,2435","2"
"KR-A","LC11","2,9748","2"
"T3","MH4-M1","0,6510","2"
"EA2","MN1-GZ2","4,2796","2"
"NH","MR","3,5896","2"
"EG","NH","14,9264","2"
"BO7-KZ2","P9-BO46","6,6200","2"
"BS3-IN2","P9-BO46","10,2000","2"
"SB18","SB28","2,7326","2"
"SB40","SB28","3,2709","2"
"KG","SB28","8,6549","2"
"EZ-D","SB28","8,4742","2"
"EL-A","SB28","4,6103","2"
"EL-B","SB28","3,5886","2"
"LC11","SB8","1,9769","2"
"KG","SB8","6,1862","2"
"EL-A","SB8","5,3036","2"
"EL-B","SB8","6,9749","2"
"KR-A","SB8","4,7038","2"
"ZH","SG","2,6049","2"
"VF-B","SPORT-A","6,4986","2"
"LC1","SPORT-A","8,3723","2"
"SPORT-B","SPORT-A","2,8999","2"
"SPORT-D","SPORT-A","13,4249","2"
"KR-A","SPORT-A","8,7364","2"
"WV19","SPORT-B","6,0074","2"
"VF-A","SPORT-B","2,7582","2"
"VF-B","SPORT-B","3,7611","2"
"LC1","SPORT-B","6,1302","2"
"KR-A","SPORT-B","7,4907","2"
"SPORT-D","SPORT-C","6,0116","2"
"KR-A","SPORT-C","3,1576","2"
"SB28","SPORT-D","8,2534","2"
"KG","SPORT-D","2,6644","2"
"EL-A","SPORT-D","5,2970","2"
"KR-A","SPORT-D","4,8716","2"
"SPORT-F","SPORT-E","1,5778","2"
"MN1-GZ2","SPORT-G","6,8641","2"
"SPORT-H","SPORT-G","4,2060","2"
"EA1","SPORT-G","2,6893","2"
"EA2","SPORT-G","5,9817","2"
"MN1-GZ2","SPORT-H","3,1993","2"
"SPORT-I","SPORT-H","7,0600","2"
"EA2","SPORT-H","2,4321","2"
"MN1-GZ2","SPORT-I","9,5569","2"
"EA1","SPORT-I","5,5811","2"
"EA2","SPORT-I","5,2821","2"
"SPORT-M","SPORT-I","4,5413","2"
"MN1-GZ2","SPORT-J","5,1456","2"
"SPORT-G","SPORT-J","8,6985","2"
"SPORT-H","SPORT-J","4,8421","2"
"SPORT-I","SPORT-J","6,0231","2"
"EA2","SPORT-J","2,7273","2"
"WV19","H2-W1","10,3674","2"
"VF-A","H2-W1","2,8666","2"
"VF-B","H2-W1","4,2597","2"
"VF7","H2-W1","4,9464","2"
"KG10","KG","3,7000","2"
"EZ-C","KG","3,8063","2"
"EZ-D","KG","6,4806","2"
"SPORT-I","KG10","9,2555","2"
"SPORT-J","KG10","12,7349","2"
"KG18","KG10","2,1858","2"
"EA1","KG10","6,0969","2"
"EA2","KG10","10,1864","2"
"SPORT-G","KG18","3,6135","2"
"SPORT-H","KG18","7,2515","2"
"SPORT-I","KG18","8,2566","2"
"SPORT-D","EZ-C","5,7790","2"
"EZ-D","EZ-C","2,9066","2"
"EL-A","EZ-C","2,5526","2"
"SPORT-E","EZ-D","3,7558","2"
"SM7-ZS16","BS3-IN2","5,1900","2"
"T11-GVS2","D7-J2","13,3700","2"
"BO7-KZ2","D7-J2","8,1500","2"
"SPORT-H","EA1","3,4798","2"
"EA2","EA1","4,1383","2"
"ZS","EG","8,2169","2"
"SB18","EL-A","4,1828","2"
"KG","EL-A","4,5206","2"
"SB40","EL-B","4,4042","2"
"SPORT-E","EL-B","8,7176","2"
"EZ-C","EL-B","4,3161","2"
"EL-A","EL-B","2,7538","2"
"SPORT-G","SPORT-M","5,7006","2"
"KG10","SPORT-M","4,7283","2"
"KG18","SPORT-M","4,0873","2"
"EA1","SPORT-M","3,8174","2"
"EA2","SPORT-M","6,8122","2"
"ZS","SM7-ZS16","7,5200","2"
"T1","T3","1,0875","2"
"SG","T1","6,6300","2"
